filename,tracker,number_of_epochs,mean_emissions,emissions_per_epoch,emissions_per_epoch_err,emissions_err,mean_duration,duration_err,duration_per_epoch,duration_per_epoch_err
greenalgorithms_logs/GreenAlgorithms_results__20250806_100epochs_noUF.csv,GreenAlgorithms,100,0.00111926634705,1.11926634705e-05,,,900.0,,9.0,
greenalgorithms_logs/GreenAlgorithms_results__20250806_1000epochs_noUF.csv,GreenAlgorithms,1000,0.011640370009320002,1.1640370009320003e-05,,,9360.0,,9.36,
